Replicate;CCD Point Type;Experiments;MV;ME;MS;m;CC;CM;Nel;Q;AR;Ortho;Skew;CS;It;VMRMS;ΔP;k;ε;Re;y+
1;Factorial Point;1;1,500;1,500;1,500;22,455;1,00E-04;21,298;8,677;7,682;7,393;7,493;9,949;9,072;33;86,354;2,040;1,186;23,627;1,038;10,397
1;Factorial Point;2;4,000;1,500;1,500;22,455;1,00E-05;10,582;2,161;7,030;6,966;7,117;9,598;3,502;80;65,019;1,986;0,897;22,847;1,037;9,761
1;Factorial Point;3;1,500;4,000;1,500;22,455;1,00E-05;21,172;8,610;7,680;7,389;7,486;9,952;19,896;80;55,555;2,067;1,180;21,315;1,038;10,198
1;Factorial Point;4;4,000;4,000;1,500;22,455;1,00E-04;11,681;2,033;7,035;6,967;7,113;9,609;2,198;53;97,849;2,002;0,926;23,419;1,037;9,662
1;Factorial Point;5;1,500;1,500;4,000;22,455;1,00E-05;22,542;8,639;7,683;7,394;7,492;9,950;19,818;80;57,858;2,076;1,198;21,241;1,038;10,229
1;Factorial Point;6;4,000;1,500;4,000;22,455;1,00E-04;10,390;2,085;7,026;6,960;7,109;9,603;2,003;47;99,591;1,977;0,876;19,137;1,038;9,726
1;Factorial Point;7;1,500;4,000;4,000;22,455;1,00E-04;20,352;8,571;7,681;7,389;7,484;9,954;8,251;33;90,592;1,933;1,139;21,401;1,038;10,368
1;Factorial Point;8;4,000;4,000;4,000;22,455;1,00E-05;11,323;1,963;7,041;6,971;7,115;9,617;3,231;80;41,564;1,956;0,901;18,261;1,038;9,702
1;Factorial Point;9;1,500;1,500;1,500;34,930;1,00E-05;21,593;8,682;7,682;7,394;7,494;9,949;20,546;80;55,756;4,881;2,846;78,025;1,614;15,112
1;Factorial Point;10;4,000;1,500;1,500;34,930;1,00E-04;11,312;2,165;7,027;6,964;7,113;9,598;2,955;68;95,486;4,687;2,213;81,311;1,614;14,267
1;Factorial Point;11;1,500;4,000;1,500;34,930;1,00E-04;21,297;8,614;7,679;7,389;7,486;9,952;9,563;35;92,198;4,842;2,889;84,084;1,614;15,302
1;Factorial Point;12;4,000;4,000;1,500;34,930;1,00E-05;9,935;2,035;7,035;6,968;7,113;9,610;3,307;80;43,861;4,658;2,243;79,532;1,614;14,235
1;Factorial Point;13;1,500;1,500;4,000;34,930;1,00E-04;22,170;8,638;7,681;7,391;7,489;9,950;8,897;34;95,724;4,562;2,755;75,693;1,614;15,419
1;Factorial Point;14;4,000;1,500;4,000;34,930;1,00E-05;9,977;2,084;7,025;6,959;7,108;9,602;3,472;80;40,128;4,572;2,194;63,606;1,614;14,269
1;Factorial Point;15;1,500;4,000;4,000;34,930;1,00E-05;21,890;8,568;7,680;7,388;7,483;9,954;19,174;80;54,101;4,583;2,684;69,494;1,614;15,202
1;Factorial Point;16;4,000;4,000;4,000;34,930;1,00E-04;11,046;1,965;7,042;6,972;7,116;9,616;2,181;54;93,848;4,608;2,188;65,790;1,614;14,280
1;Axial Point;17;2,125;2,750;2,750;28,693;5,50E-05;13,315;4,146;7,528;7,258;7,382;9,881;7,728;80;66,455;3,251;1,815;42,886;1,326;12,389
1;Axial Point;18;3,375;2,750;2,750;28,693;5,50E-05;11,510;2,240;7,195;7,047;7,208;9,691;3,677;80;84,140;3,168;1,431;36,766;1,326;12,991
1;Axial Point;19;2,750;2,125;2,750;28,693;5,50E-05;12,006;2,777;7,335;7,134;7,270;9,786;4,817;80;95,226;3,251;1,724;41,912;1,326;12,191
1;Axial Point;20;2,750;3,375;2,750;28,693;5,50E-05;12,241;2,783;7,326;7,125;7,262;9,785;4,817;80;93,986;3,253;1,708;41,334;1,326;12,217
1;Axial Point;21;2,750;2,750;2,125;28,693;5,50E-05;11,326;2,777;7,334;7,132;7,270;9,786;4,819;80;91,681;3,248;1,729;42,387;1,326;12,150
1;Axial Point;22;2,750;2,750;3,375;28,693;5,50E-05;11,253;2,781;7,336;7,135;7,272;9,786;4,861;80;99,076;3,246;1,711;42,595;1,326;12,173
1;Axial Point;23;2,750;2,750;2,750;25,574;5,50E-05;11,634;2,779;7,337;7,136;7,273;9,786;5,071;80;90,595;2,596;1,369;30,111;1,182;10,969
1;Axial Point;24;2,750;2,750;2,750;31,811;5,50E-05;10,817;2,771;7,326;7,124;7,262;9,786;4,856;80;84,982;3,964;2,094;55,827;1,470;13,337
1;Axial Point;25;2,750;2,750;2,750;28,693;3,25E-05;11,540;2,780;7,337;7,136;7,272;9,786;4,899;80;93,857;3,266;1,717;42,019;1,326;12,199
1;Axial Point;26;2,750;2,750;2,750;28,693;7,75E-05;12,279;2,779;7,336;7,135;7,272;9,786;4,832;80;93,076;3,243;1,726;41,508;1,326;12,213
1;Center Point;27;2,750;2,750;2,750;28,693;5,50E-05;13,423;2,773;7,324;7,122;7,260;9,786;4,794;80;94,520;3,252;1,682;40,970;1,326;12,264
1;Center Point;28;2,750;2,750;2,750;28,693;5,50E-05;12,055;2,776;7,337;7,135;7,272;9,786;4,857;80;88,994;3,246;1,715;41,964;1,326;12,211
1;Center Point;29;2,750;2,750;2,750;28,693;5,50E-05;11,871;2,780;7,338;7,137;7,274;9,786;4,892;80;92,684;3,244;1,733;41,856;1,326;12,192
1;Center Point;30;2,750;2,750;2,750;28,693;5,50E-05;11,118;2,771;7,332;7,131;7,268;9,786;4,819;80;89,508;3,256;1,696;42,903;1,326;12,222
1;Center Point;31;2,750;2,750;2,750;28,693;5,50E-05;11,780;2,777;7,334;7,132;7,269;9,786;4,780;80;92,054;3,248;1,717;42,122;1,326;12,186
1;Center Point;32;2,750;2,750;2,750;28,693;5,50E-05;11,213;2,781;7,336;7,135;7,271;9,786;4,853;80;94,554;3,243;1,709;42,091;1,326;12,201
2;Factorial Point;1;1,500;1,500;1,500;22,455;1,00E-04;21,110;8,681;7,683;7,394;7,494;9,949;8,711;33;99,393;2,002;1,182;23,066;1,038;10,314
2;Factorial Point;2;4,000;1,500;1,500;22,455;1,00E-05;10,758;2,157;7,026;6,962;7,112;9,598;3,535;80;60,674;1,985;0,906;22,806;1,037;9,706
2;Factorial Point;3;1,500;4,000;1,500;22,455;1,00E-05;20,329;8,607;7,681;7,390;7,487;9,952;19,978;80;55,931;2,070;1,191;21,333;1,038;10,205
2;Factorial Point;4;4,000;4,000;1,500;22,455;1,00E-04;10,297;2,040;7,039;6,971;7,117;9,609;2,726;66;84,784;2,003;0,908;22,746;1,037;9,698
2;Factorial Point;5;1,500;1,500;4,000;22,455;1,00E-05;20,263;8,634;7,682;7,392;7,490;9,950;19,150;80;55,843;1,945;1,111;18,777;1,038;10,203
2;Factorial Point;6;4,000;1,500;4,000;22,455;1,00E-04;10,645;2,082;7,024;6,958;7,107;9,601;2,477;58;96,282;1,976;0,896;18,681;1,038;9,712
2;Factorial Point;7;1,500;4,000;4,000;22,455;1,00E-04;21,082;8,568;7,681;7,389;7,485;9,954;8,270;33;96,663;1,933;1,148;21,756;1,038;10,412
2;Factorial Point;8;4,000;4,000;4,000;22,455;1,00E-05;10,232;1,965;7,041;6,971;7,115;9,616;3,211;80;82,195;1,955;0,896;18,810;1,038;9,653
2;Factorial Point;9;1,500;1,500;1,500;34,930;1,00E-05;21,505;8,676;7,680;7,391;7,491;9,949;20,760;80;41,811;4,876;2,831;77,949;1,614;15,151
2;Factorial Point;10;4,000;1,500;1,500;34,930;1,00E-04;11,343;2,166;7,030;6,966;7,116;9,598;2,280;51;98,431;4,711;2,242;82,000;1,614;14,293
2;Factorial Point;11;1,500;4,000;1,500;34,930;1,00E-04;20,625;8,607;7,677;7,387;7,483;9,952;8,811;34;98,354;4,840;2,928;84,170;1,614;15,334
2;Factorial Point;12;4,000;4,000;1,500;34,930;1,00E-05;10,151;2,039;7,035;6,967;7,113;9,609;3,287;80;33,122;4,662;2,239;78,928;1,614;14,205
2;Factorial Point;13;1,500;1,500;4,000;34,930;1,00E-04;20,934;8,638;7,681;7,392;7,490;9,950;9,214;34;99,864;4,588;2,742;75,928;1,614;15,360
2;Factorial Point;14;4,000;1,500;4,000;34,930;1,00E-05;10,767;2,093;7,029;6,964;7,112;9,601;3,400;80;46,372;4,563;2,188;64,706;1,614;14,261
2;Factorial Point;15;1,500;4,000;4,000;34,930;1,00E-05;20,189;8,572;7,680;7,388;7,483;9,954;19,776;80;52,121;4,579;2,660;68,452;1,614;15,153
2;Factorial Point;16;4,000;4,000;4,000;34,930;1,00E-04;10,305;1,963;7,038;6,968;7,112;9,617;2,115;52;94,554;4,618;2,171;64,814;1,614;14,262
2;Axial Point;17;2,125;2,750;2,750;28,693;5,50E-05;13,952;4,144;7,531;7,262;7,385;9,881;7,886;80;69,875;3,251;1,815;42,850;1,326;12,400
2;Axial Point;18;3,375;2,750;2,750;28,693;5,50E-05;10,582;2,247;7,205;7,079;7,219;9,692;3,815;80;87,260;3,255;1,560;39,832;1,326;12,163
2;Axial Point;19;2,750;2,125;2,750;28,693;5,50E-05;11,239;2,774;7,326;7,107;7,261;9,786;4,802;80;77,173;3,185;1,525;38,541;1,326;12,995
2;Axial Point;20;2,750;3,375;2,750;28,693;5,50E-05;11,285;2,777;7,336;7,134;7,271;9,786;4,894;80;96,912;3,255;1,722;41,762;1,326;12,208
2;Axial Point;21;2,750;2,750;2,125;28,693;5,50E-05;10,967;2,775;7,333;7,132;7,269;9,786;4,861;80;90,121;3,257;1,706;42,802;1,326;12,142
2;Axial Point;22;2,750;2,750;3,375;28,693;5,50E-05;11,721;2,778;7,335;7,133;7,270;9,786;4,889;80;91,436;3,242;1,725;41,353;1,326;12,197
2;Axial Point;23;2,750;2,750;2,750;25,574;5,50E-05;11,001;2,776;7,334;7,133;7,270;9,786;4,932;80;94,984;2,598;1,373;30,579;1,182;11,010
2;Axial Point;24;2,750;2,750;2,750;31,811;5,50E-05;10,988;2,780;7,334;7,132;7,270;9,786;4,986;80;88,608;3,971;2,096;55,949;1,470;13,296
2;Axial Point;25;2,750;2,750;2,750;28,693;3,25E-05;10,742;2,772;7,333;7,131;7,268;9,786;4,682;80;87,755;3,262;1,708;41,837;1,326;12,238
2;Axial Point;26;2,750;2,750;2,750;28,693;7,75E-05;11,098;2,772;7,321;7,120;7,258;9,785;4,870;80;85,134;3,259;1,696;41,339;1,326;12,208
2;Center Point;27;2,750;2,750;2,750;28,693;5,50E-05;10,862;2,784;7,339;7,138;7,274;9,786;4,892;80;92,455;3,254;1,718;42,607;1,326;12,209
2;Center Point;28;2,750;2,750;2,750;28,693;5,50E-05;12,364;2,778;7,334;7,133;7,269;9,786;4,844;80;85,059;3,258;1,726;42,663;1,326;12,147
2;Center Point;29;2,750;2,750;2,750;28,693;5,50E-05;10,960;2,773;7,332;7,131;7,268;9,786;4,809;80;91,238;3,249;1,697;41,590;1,326;12,185
2;Center Point;30;2,750;2,750;2,750;28,693;5,50E-05;11,254;2,774;7,335;7,134;7,271;9,786;4,823;80;90,435;3,257;1,695;41,686;1,326;12,205
2;Center Point;31;2,750;2,750;2,750;28,693;5,50E-05;11,089;2,773;7,333;7,131;7,268;9,786;4,929;80;82,839;3,244;1,698;41,810;1,326;12,234
2;Center Point;32;2,750;2,750;2,750;28,693;5,50E-05;11,328;2,774;7,335;7,133;7,270;9,786;5,154;80;91,233;3,261;1,707;42,435;1,326;12,204
3;Factorial Point;1;1,500;1,500;1,500;22,455;1,00E-04;21,598;8,680;7,679;7,390;7,490;9,949;9,000;33;87,885;2,040;1,188;23,682;1,038;10,403
3;Factorial Point;2;4,000;1,500;1,500;22,455;1,00E-05;10,405;2,159;7,026;6,962;7,112;9,597;3,515;80;62,539;1,989;0,915;22,891;1,037;9,720
3;Factorial Point;3;1,500;4,000;1,500;22,455;1,00E-05;21,186;8,609;7,681;7,390;7,487;9,952;19,096;80;56,555;2,064;1,184;21,524;1,038;10,167
3;Factorial Point;4;4,000;4,000;1,500;22,455;1,00E-04;10,611;2,041;7,038;6,971;7,116;9,610;2,024;45;96,869;2,000;0,907;23,865;1,037;9,738
3;Factorial Point;5;1,500;1,500;4,000;22,455;1,00E-05;20,542;8,637;7,680;7,391;7,489;9,950;19,012;80;54,106;1,950;1,119;18,772;1,038;10,223
3;Factorial Point;6;4,000;1,500;4,000;22,455;1,00E-04;10,136;2,087;7,032;6,967;7,115;9,602;2,338;51;99,166;1,971;0,892;18,714;1,038;9,708
3;Factorial Point;7;1,500;4,000;4,000;22,455;1,00E-04;22,492;8,567;7,681;7,389;7,485;9,954;8,723;33;98,352;1,932;1,155;21,718;1,038;10,387
3;Factorial Point;8;4,000;4,000;4,000;22,455;1,00E-05;9,933;1,962;7,039;6,970;7,113;9,617;3,207;80;70,480;1,953;0,876;18,421;1,038;9,669
3;Factorial Point;9;1,500;1,500;1,500;34,930;1,00E-05;22,268;8,680;7,679;7,391;7,491;9,949;19,846;80;51,002;4,903;2,828;78,379;1,614;15,131
3;Factorial Point;10;4,000;1,500;1,500;34,930;1,00E-04;10,053;2,155;7,023;6,960;7,110;9,597;2,440;53;96,136;4,709;2,229;82,082;1,614;14,340
3;Factorial Point;11;1,500;4,000;1,500;34,930;1,00E-04;20,795;8,607;7,678;7,387;7,484;9,952;8,663;33;96,388;4,826;2,889;83,868;1,614;15,313
3;Factorial Point;12;4,000;4,000;1,500;34,930;1,00E-05;10,016;2,027;7,029;6,962;7,108;9,609;3,595;80;44,853;4,661;2,234;79,242;1,614;14,322
3;Factorial Point;13;1,500;1,500;4,000;34,930;1,00E-04;21,905;8,642;7,680;7,391;7,489;9,950;9,266;33;98,332;4,569;2,748;76,269;1,614;15,334
3;Factorial Point;14;4,000;1,500;4,000;34,930;1,00E-05;9,901;2,086;7,030;6,964;7,112;9,602;3,503;80;45,512;4,568;2,195;64,437;1,614;14,190
3;Factorial Point;15;1,500;4,000;4,000;34,930;1,00E-05;21,330;8,571;7,681;7,389;7,485;9,954;19,597;80;52,603;4,585;2,680;68,790;1,614;15,189
3;Factorial Point;16;4,000;4,000;4,000;34,930;1,00E-04;9,789;1,967;7,039;6,970;7,113;9,615;2,250;50;98,816;4,634;2,198;67,558;1,614;14,251
3;Axial Point;17;2,125;2,750;2,750;28,693;5,50E-05;12,524;4,135;7,532;7,263;7,386;9,881;7,967;80;65,788;3,255;1,813;42,176;1,326;12,440
3;Axial Point;18;3,375;2,750;2,750;28,693;5,50E-05;12,440;2,244;7,206;7,080;7,220;9,692;3,840;80;97,704;3,273;1,552;39,746;1,326;12,215
3;Axial Point;19;2,750;2,125;2,750;28,693;5,50E-05;11,613;2,776;7,332;7,130;7,267;9,786;5,080;80;87,925;3,265;1,700;42,207;1,326;12,222
3;Axial Point;20;2,750;3,375;2,750;28,693;5,50E-05;11,918;2,781;7,329;7,128;7,265;9,786;5,037;80;92,845;3,249;1,706;41,119;1,326;12,217
3;Axial Point;21;2,750;2,750;2,125;28,693;5,50E-05;10,871;2,778;7,336;7,134;7,271;9,786;5,058;80;92,114;3,249;1,736;41,945;1,326;12,140
3;Axial Point;22;2,750;2,750;3,375;28,693;5,50E-05;10,992;2,780;7,335;7,134;7,270;9,786;5,099;80;88,596;3,258;1,736;42,020;1,326;12,174
3;Axial Point;23;2,750;2,750;2,750;25,574;5,50E-05;10,596;2,770;7,333;7,131;7,269;9,786;5,075;80;91,976;2,619;1,351;30,711;1,182;11,060
3;Axial Point;24;2,750;2,750;2,750;31,811;5,50E-05;10,960;2,777;7,328;7,109;7,262;9,786;5,058;80;75,487;3,877;1,854;52,447;1,470;14,227
3;Axial Point;25;2,750;2,750;2,750;28,693;3,25E-05;10,993;2,776;7,331;7,130;7,267;9,786;5,083;80;88,314;3,253;1,687;41,486;1,326;12,181
3;Axial Point;26;2,750;2,750;2,750;28,693;7,75E-05;10,756;2,781;7,337;7,136;7,272;9,786;5,083;80;88,570;3,252;1,740;41,701;1,326;12,212
3;Center Point;27;2,750;2,750;2,750;28,693;5,50E-05;10,554;2,774;7,334;7,132;7,270;9,787;4,932;80;92,218;3,238;1,693;41,696;1,326;12,181
3;Center Point;28;2,750;2,750;2,750;28,693;5,50E-05;10,741;2,774;7,331;7,129;7,266;9,786;4,974;80;90,618;3,251;1,700;42,083;1,326;12,195
3;Center Point;29;2,750;2,750;2,750;28,693;5,50E-05;10,683;2,772;7,335;7,133;7,270;9,786;4,960;80;91,603;3,237;1,722;41,642;1,326;12,124
3;Center Point;30;2,750;2,750;2,750;28,693;5,50E-05;10,647;2,775;7,324;7,123;7,260;9,786;4,914;80;87,721;3,246;1,694;40,602;1,326;12,201
3;Center Point;31;2,750;2,750;2,750;28,693;5,50E-05;10,919;2,779;7,336;7,135;7,272;9,786;4,862;80;91,377;3,250;1,731;42,540;1,326;12,142
3;Center Point;32;2,750;2,750;2,750;28,693;5,50E-05;10,886;2,780;7,336;7,135;7,272;9,786;4,847;80;92,819;3,251;1,736;41,947;1,326;12,245
